"","date","meanAT2","meanAT6","sum_R","rain_events","meanRH2","meanRH6","meanSWC5","meanSWC15","meanSWC30","meanST5","meanST15","meanST30","meanNEE","meanGPP","meanRECO","sdReco","bigR","bigRmm","DOY.x","observation","Season","year","Pulse_DOY","DOY.y","PulseDays"
"1",2012-12-31,NA,-0.875,0,0,NA,77.37668311,NA,NA,NA,NA,NA,NA,NA,NA,0.03903564358,NA,0,0,366,1,"Winter",2012,0,NA,0
"2",2013-01-01,0.584125,1.08347916666667,0,0,65.5787464810417,60.6430125375,11.8958333333333,12.1458333333333,7.60083333333333,2.34583333332292,4.41666666666667,7.26041666666667,-0.0282467558283333,0.120640906377167,0.092394150550625,0.108363684567046,0,0,1,2,"Winter",2013,0,NA,0
"3",2013-01-02,3.73183333333333,4.2610625,0,0,47.2526593560417,43.0661194,11.9375,12.3958333333333,7.616875,2.72708333333333,4.35,6.68541666666667,0.0227822860925,0.121754630605208,0.144536916696875,0.116196865772363,0,0,2,3,"Winter",2013,0,NA,0
"4",2013-01-03,1.82675,2.09779166666667,0,0,69.8328262733333,66.866326970625,11.75,12.5,7.74208333333333,3.11666666666667,4.50208333333333,6.56458333333333,-0.0620569704535417,0.196180358827708,0.134123388384375,0.143776377909475,0,0,3,4,"Winter",2013,0,NA,0
"5",2013-01-04,0.627020833333333,0.9573125,0,0,77.012117101875,73.4965474895833,11.375,12.7291666666667,7.67916666666667,3.07291666666667,4.7125,6.55416666666667,-0.0129260932394792,0.119917119347292,0.106991026106667,0.110350088154551,0,0,4,5,"Winter",2013,0,NA,0
"6",2013-01-05,4.27754166666667,5.19491666666667,0,0,48.1785673058333,42.9539081045833,11.1875,12.6875,7.721875,2.99375,4.59166666666667,6.44791666666667,0.067949570198125,0.0844002516229167,0.152349821821042,0.0797960787315414,0,0,5,6,"Winter",2013,0,NA,0
"7",2013-01-06,5.86766666666667,6.34439583333333,0,0,36.2800793025,33.2645525402083,11.2291666666667,12.7083333333333,7.720625,3.65208333333333,4.76666666666667,6.39166666666667,0.315169143347917,0.031572307041875,0.34674145039375,0.202251847459749,0,0,6,7,"Winter",2013,0,NA,0
"8",2013-01-07,5.73691666666667,6.07283333333333,0,0,51.2964417395833,48.0308184464583,11.2916666666667,12.8958333333333,7.7075,5.03125,6.04375,6.83541666666667,0.0108399412996042,0.229938313358617,0.24077825465625,0.0935240360902416,0,0,7,8,"Winter",2013,0,NA,0
"9",2013-01-08,5.74720833333333,6.38072916666667,0,0,48.3723092360417,44.1102536433333,11.1666666666667,13.1458333333333,7.79520833333333,5.60416666666667,7.09166666666667,7.48541666666667,0.180300528627458,0.137192303847917,0.3174928324625,0.133097625586165,0,0,8,9,"Winter",2013,0,NA,0
"10",2013-01-09,8.1393125,8.802875,0,0,31.30914238625,27.7225974258333,11,12.9375,7.650625,5.26041666666667,6.72291666666667,7.5125,0.165701908101667,0.287171980115208,0.452873888214583,0.226639475758279,0,0,9,10,"Winter",2013,0,NA,0
