"","as.numeric(DOY_S)","meanAT2","meanAT6","sum_R","rain_events","meanRH2","meanRH6","meanSWC5","meanSWC15","meanSWC30","meanST5","meanST15","meanST30","meanNEE","meanGPP","meanRECO","sdReco","Season","Previous_DOY_rain","Timeinbetween"
"1",14,10.9273958333333,11.5215416666667,9.271,4,54.4647450022917,53.5573074004167,16.9166666666667,16.0208333333333,NA,9.475,10.4645833333333,10.2354166666667,0.355086571816104,0.158186574368125,0.513273146189583,0.516780647486254,"Winter",NA,NA
"2",15,3.33216666666667,3.79227083333333,5.969,15,96.2525700560417,94.5646848054167,25.4166666666667,22.6666666666667,17,7.51666666666667,8.89166666666667,10.1666666666667,0.261894796245833,0.0248615527708333,0.286756349016667,0.019083161998482,"Winter",14,1
"3",21,3.63020833333333,4.16022916666667,7.239,7,69.813891015,70.06026380125,22.7708333333333,23.875,14.3333333333333,5.64375,6.475,8.15833333333333,0.215717190537083,0.255717889971875,0.47143508051875,0.11511797898795,"Winter",15,6
"4",172,30.1022916666667,30.95625,6.35,2,22.0156161508333,19.3329769095833,9.39583333333333,9.33333333333333,9.79166666666667,33.0895833333333,32.69375,31.39375,0.390277567969167,0.432773140456667,0.82305070841875,0.848147385360175,"Spring",21,151
"5",176,26.5022916666667,27.0235416666667,25.654,2,36.5915993472917,34.429162389375,16.2708333333333,9.54166666666667,9.3125,31.1104166666667,31.0270833333333,30.5541666666667,1.07698990546458,0.632367271842083,1.7093571773125,0.836103305928092,"Spring",172,4
"6",184,23.9095833333333,24.6739583333333,59.944,8,42.3695251897917,39.1370632714583,19.7916666666667,16.625,13.125,28.4083333333333,28.6104166666667,28.9395833333333,0.250794065914583,0.713105076380833,0.963899142254167,0.321030743686402,"Summer",176,8
"7",190,23.9995833333333,24.91375,8.509,2,50.2329106391667,46.4783423389583,20.1666666666667,17.7916666666667,18,27.8395833333333,28.2729166666667,28.9979166666667,0.49037738437125,2.09784036321271,2.58821774758333,0.340821443442233,"Summer",184,6
"8",193,21.2547916666667,21.8889583333333,14.732,4,71.926970745625,69.290322439375,23.4375,22.5,18.8541666666667,25.2041666666667,25.3333333333333,26.8916666666667,0.36164575676875,2.279728936325,2.64137469308333,0.394275656580112,"Summer",190,3
"9",194,21.8177083333333,22.49125,39.751,7,66.5930848489583,62.9939740370833,26.125,28.7291666666667,22.4375,25.0479166666667,24.0604166666667,25.6729166666667,-0.973376234066667,3.59742215455,2.62404592047917,0.483584240957166,"Summer",193,1
"10",198,20.2277083333333,20.8241666666667,8.128,3,78.173007745,75.2869686597917,23.6875,25.5208333333333,21.8333333333333,24.1208333333333,24.0541666666667,25.3041666666667,-1.04192594926458,3.23439635702708,2.19247040760417,0.210347303679957,"Summer",194,4
"11",207,23.055625,23.900625,11.684,3,66.9906808625,62.476051520625,21.4166666666667,21.4375,19.2083333333333,26.0625,25.0604166666667,25.5354166666667,-1.86635524985153,3.71783284363125,1.85147759404167,0.226178285560022,"Summer",198,9
"12",208,22.7545833333333,23.4835416666667,8.382,6,67.013542151875,63.126098234375,24.9166666666667,26.6458333333333,21,25.1458333333333,24.35,25.1270833333333,-2.46474414494375,4.38665053621875,1.92190639127083,0.459429374057043,"Summer",207,1
"13",209,20.7145833333333,21.3602083333333,29.464,8,72.5979811577083,69.07245713375,26.875,30.3541666666667,23.1041666666667,24.6,23.53125,24.78125,-3.03989309475,4.77322589996667,1.73333280535417,0.360357633973379,"Summer",208,1
"14",213,21.0054166666667,21.3591666666667,11.684,6,77.7512394354167,75.931740345625,27.0416666666667,31.4791666666667,25.0208333333333,24.8104166666667,23.96875,24.7875,-2.57530118709167,4.45920638847917,1.88390520177083,0.533148499882578,"Summer",209,4
"15",214,21.2904166666667,21.8972916666667,23.368,3,73.6389662620833,70.867074694375,26.7708333333333,30.9375,25.1666666666667,24.1895833333333,23.5520833333333,24.5645833333333,-1.95641694283125,4.07440036244958,2.11798341939583,1.10050614609601,"Summer",213,1
"16",222,22.8591666666667,23.739375,9.779,8,60.973499356875,56.3300676589583,18.0208333333333,17.875,19.8541666666667,26.1916666666667,25.825,26.0375,-1.73369467469875,4.19622427375,2.4625295994375,0.827829893838828,"Summer",214,8
"17",224,22.8364583333333,23.475625,25.654,6,64.2460412789583,61.3165253647917,22.1875,23.2916666666667,19.4583333333333,25.5729166666667,24.95,25.41875,-2.30746626183542,4.85830061889583,2.55083435766667,0.636774834638012,"Summer",222,2
"18",351,3.7824375,4.436125,5.588,5,89.1532909502083,88.4230175989583,8.97916666666667,7.52083333333333,7,8.62916666666667,9.75416666666667,11.9395833333333,0.665787879331042,0.030039336391125,0.695827215722917,0.617404188032666,"Winter",224,127
